Season	Episode	AirDate	Viewers	Product	Deal	GotDeal	Asking	DealTerms	Sharks	Investors
7	20	2016-02-26	5.45	linka	NO	NO	$250K for 10%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	20	2016-02-26	5.45	teaspressa	NO	NO	$50K for 10%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	21	2016-03-11	5.74	beloved shirts	NO	NO	$175K for 5%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	21	2016-03-11	5.74	illumibowl	YES	YES	$100K for 15%	$100K for 20%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Kevin O'Leary
7	21	2016-03-11	5.74	innovation pet	YES	YES	$250K for 5%	$250K for 12.5% equity + 25% of online sales	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Daymond John
7	21	2016-03-11	5.74	mobcraft beer	NO	NO	$400K for 16.00%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	22	2016-03-18	6.13	beer blizzard	YES	YES	$100K for 20%	$100K for 25%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban
7	22	2016-03-18	6.13	the good promise	NO	NO	$100k for 20%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
7	22	2016-03-18	6.13	vengo	YES	YES	$2M for 12.50%	$2M for 7% interest plus 3% equity	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Kevin O'Leary and Lori Greiner
7	22	2016-03-18	6.13	wondercide	YES	YES	$500K for 5.00%	$500K for 0.50% royalty plus 3% equity	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner
