Season	Episode	AirDate	Viewers	Product	Deal	GotDeal	Asking	DealTerms	Sharks	Investors
6	20	2015-02-20	8.43	scholly	YES	YES	NA	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	20	2015-02-20	8.43	taaluma totes	NO	NO	NA	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	21	2015-03-06	8.21	bedryder	NO	NO	NA	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	21	2015-03-06	8.21	coco jack	YES	YES	NA	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	21	2015-03-06	8.21	frill clothing	YES	YES	NA	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	21	2015-03-06	8.21	the twin z pillow	YES	YES	NA	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	22	2015-03-13	7.24	aqua vault	YES	YES	$75,000 for 12%	$75,000 for 25%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Daymond John
6	22	2015-03-13	7.24	echo valley meats	YES	YES	$150,000 for 20%	150,000 for 25% w/option	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban
6	22	2015-03-13	7.24	emazinglights	YES	YES	NA	$650,000  5% Equity, 20% Licensing Commissions	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban and Daymond John
6	22	2015-03-13	7.24	naja	YES	YES	$500,000 for 5%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	23	2015-03-20	7.5	beesweet lemonade	YES	YES	$60,000 for 10%	$60,000 for 25%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Daymond John
6	23	2015-03-20	7.5	brandyourself	NO	NO	$2,000,000 for 13.5%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	23	2015-03-20	7.5	icpooch	NO	NO	$150,000 for 20%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	23	2015-03-20	7.5	the home t	NO	NO	NA	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	24	2015-04-10	6.65	bee thinking	NO	NO	400,000 for 10%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	24	2015-04-10	6.65	budsies	NO	NO	NA	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	24	2015-04-10	6.65	forus athletics	NO	NO	200,000 for 15%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	24	2015-04-10	6.65	pullypalz	YES	YES	100,000 for 20%	100,000 for 28%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Lori Greiner
6	25	2015-04-17	6.51	beneath the ink	NO	NO	$350,000 for 10%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	25	2015-04-17	6.51	melni connectors	YES	YES	$500,000 for 12%	$500,000 for 12%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban
6	25	2015-04-17	6.51	neatcheeks	YES	YES	$150,000 for 25%	$150,000 for 25%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Barbara Corcoran
6	25	2015-04-17	6.51	pittmoss	YES	YES	$600,000  25%	$600,000  35%	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban, Robert Herjavec, Kevin O'Leary
6	26	2015-04-24	7.94	buck mason	NO	NO	$200,000 for 18%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	26	2015-04-24	7.94	noene usa	YES	YES	$100,000 for 10%	$200,000 for 30%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban and Daymond John
6	26	2015-04-24	7.94	snagastool	NO	NO	$120,000 for 18%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	26	2015-04-24	7.94	zinepak	YES	YES	$750,000 for 10%	$750,000 for 17.5%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Robert Herjavec and Lori Greiner
6	27	2015-05-01	7.07	frameri	NO	NO	$150,000 for 3.5%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	27	2015-05-01	7.07	the paleo diet foods	NO	NO	$150,000 for 20%	NA	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
6	27	2015-05-01	7.07	world record striper company	YES	YES	$75,000 for 20%	$80,000 for 33%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Mark Cuban
6	27	2015-05-01	7.07	zero pollution motors	YES	YES	$5,000,000 for 50%	$5,000,000 for 50%	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec	Robert Herjavec
6	28	2015-05-08	6.68	sunscreen mist	NO	NO	$400,000 for 15%	NA	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec	NA
