Season	Episode	AirDate	Viewers	Product	Deal	Sharks
7	27	2016-05-06	5.42	yourself expression	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
7	27	2016-05-06	5.42	the spooner	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
7	28	2016-05-13	5.3	camp no counselors	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
7	28	2016-05-13	5.3	extreme vehicle protection	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
7	28	2016-05-13	5.3	gladiator lacrosse	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
7	28	2016-05-13	5.3	vpcabs	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
7	29	2016-05-20	5.47	pete & pedro	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
7	29	2016-05-20	5.47	pms bites	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
7	29	2016-05-20	5.47	felt	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
7	29	2016-05-20	5.47	pavlok	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	1	2016-09-23	4.98	fizzics	YES	Mark Cuban, Daymond John, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	1	2016-09-23	4.98	spoonful of comfort	NO	Mark Cuban, Daymond John, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	1	2016-09-23	4.98	islide	NO	Mark Cuban, Daymond John, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	1	2016-09-23	4.98	rethink	YES	Mark Cuban, Daymond John, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	2	2016-09-30	5.02	the lapel project	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	2	2016-09-30	5.02	goodhangups	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	2	2016-09-30	5.02	ice age meals	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	2	2016-09-30	5.02	tactibite fish call	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	3	2016-10-07	4.86	raising wild	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	3	2016-10-07	4.86	the cookie kahuna	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	3	2016-10-07	4.86	tekdry	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	3	2016-10-07	4.86	night runner 270	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	4	2016-10-14	5.19	solemates	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	4	2016-10-14	5.19	atlantic candy company	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	4	2016-10-14	5.19	biem	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	4	2016-10-14	5.19	angels and tomboys	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	5	2016-10-21	5.42	sandilake clothing	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	5	2016-10-21	5.42	parker maple	NO	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	5	2016-10-21	5.42	safegrabs	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	5	2016-10-21	5.42	silidog	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	6	2016-10-28	4.41	joyce's lulu bang	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	6	2016-10-28	4.41	unpack	NO	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	6	2016-10-28	4.41	sunscreenr	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	6	2016-10-28	4.41	potato parcel	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	7	2016-11-04	5.22	eco flower	YES	Mark Cuban, Daymond John, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	7	2016-11-04	5.22	the style club	YES	Mark Cuban, Daymond John, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	7	2016-11-04	5.22	safe catch	NO	Mark Cuban, Daymond John, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	7	2016-11-04	5.22	#besomebody	NO	Mark Cuban, Daymond John, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Robert Herjavec
8	8	2016-11-11	5.43	milk snob	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Chris Sacca
8	8	2016-11-11	5.43	jack's stands & marketplaces	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Chris Sacca
8	8	2016-11-11	5.43	chi'lantro bbq	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Chris Sacca
8	8	2016-11-11	5.43	toor	YES	Mark Cuban, Barbara Corcoran, Kevin O'Leary, Lori Greiner, Chris Sacca
8	9	2016-11-18	5.19	pupbox	YES	Mark Cuban, Daymond John, Kevin O'Leary, Lori Greiner, Robert Herjavec
